Tbilisi_Wage,Batumi_Wage,Kutaisi_Wage,Gori_Wage,Telavi_Wage,Zugdidi_Wage
868.6247145,526.6285728,411.9991299,389.2732753,353.9801415,396.3795059
924.5175397,574.8343812,440.7104741,421.8771598,375.7238536,449.3634083
945.8175089,631.7410028,461.59233,437.6083493,430.3883989,486.7890206
1030.902325,683.6528243,504.5896601,467.3956546,430.1038676,498.1963848
890.1608111,578.8046136,507.1475728,450.5930819,386.9962721,509.2483577
984.7439323,624.5243622,512.0620743,460.0382209,413.7020088,553.6356241
981.5491848,632.8209239,534.348914,486.3012408,425.2458994,532.932072
1066.08342,693.3097456,554.4413695,545.6057028,483.9870511,589.6439391
966.6642361,605.5194836,526.8524455,485.1649723,461.1090192,546.1042257
1044.686046,687.4583902,576.5947058,523.995981,481.4052604,582.3914099
1033.55676,706.9336728,550.6584378,510.869178,465.1630574,567.7643433
1140.178952,828.4382486,604.3238008,597.223093,511.7433136,613.7382915
1020.732699,736.8219434,554.1619898,528.2243845,456.0389212,583.8044104
1115.951829,816.8517586,591.7998407,565.5694532,492.5598993,628.897112
1106.687237,875.7045856,599.0881145,549.1230738,500.3367037,629.3633981
1199.251913,926.7068992,643.5462661,603.4667317,556.5806102,678.0691908
1074.513198,838.0097374,618.1119862,537.251973,508.6093693,644.3349912
1149.169406,899.0886416,652.3596932,599.7549563,535.1383587,643.9940785
1154.400103,904.3477689,636.4287641,603.9727242,552.9754651,676.6784742
1278.538324,921.5640083,682.3107046,611.8634478,589.7243302,725.0841819
1173.925858,855.9457011,633.2052004,625.6730522,599.6517879,714.5728321
1291.675558,927.5251193,657.6916072,617.3881076,561.3175054,712.5506806
1281.342255,926.0966844,695.6413006,628.7498703,568.8457676,729.8663796
1386.162203,950.8809649,714.9931319,647.3126001,665.4062829,727.5093071
1276.835372,840.5625435,676.3752613,588.1878096,592.1547938,712.2178367
1325.351549,915.3381414,710.7630015,642.6694701,634.6833432,724.5314131
1342.020413,971.5631571,732.4454776,677.4058187,680.4063432,739.4401515
1451.791811,1013.236295,746.4775319,704.2380925,737.6047499,831.0868036
1302.025181,924.8745999,714.2362021,722.9840889,641.6819464,704.8024142
1415.621051,983.1599924,755.4884424,717.7587592,699.1085978,767.1308477
1446.143205,1041.091228,776.6427265,770.0474447,744.6697569,793.3835479
1558.777346,1157.711044,818.3336516,802.0549029,865.5817828,880.2496968
1423.13983,957.4730371,805.2938112,784.3018254,735.7090401,848.0184255
1336.718051,880.402221,805.7454527,768.5652581,716.1999304,856.6504679
1449.458424,986.0842193,841.9431346,812.5991489,769.8229681,885.4973164
1541.77546,1032.253486,889.4654692,868.9610271,834.7534039,943.3922751
1453.599843,987.3831345,916.2560598,876.6864945,793.6558968,938.1841772
1523.585038,1094.629567,1018.297235,899.2227423,834.7241879,990.454915
1568.913247,1143.963486,1032.89277,943.0886587,911.1168983,960.3752315
1714.996121,1293.09469,1070.815802,961.6379075,941.1153119,964.834253
1675.001656,1170.563631,1050.730237,959.5277027,969.1639931,985.9433753
1802.110736,1232.856139,1122.38036,978.161814,957.8574888,1017.889464
1829.464815,1462.694501,1171.734863,1048.76199,1027.635702,1063.891423
2066.274534,1492.520954,1235.735226,1150.588086,1095.266454,1212.055966
2026.788389,1367.395483,1109.879174,1098.176148,1034.751149,1135.731147
2115.159489,1541.411444,1212.160833,1137.839181,1099.748734,1219.701448
2160.617268,1617.74042,1265.78929,1165.377613,1160.106381,1215.922064
2392.946976,1796.473236,1339.046353,1283.713975,1289.171191,1310.215319
2304.95684,1564.532837,1209.439102,1159.362716,1174.003296,1267.948562
2354.769845,1638.508817,1275.247642,1269.329789,1262.840734,1311.058393
2380.392175,1748.756798,1372.887004,1351.658912,1358.323225,1308.853948
2583.045223,1824.534634,1441.614938,1442.643665,1441.096445,1488.999022